Total_Points,Pi_Estimate,Error,Execution_Time
1000000,3.1423000000,0.0007073464,0.0034
10000000,3.1415332000,0.0000594536,0.0534
100000000,3.1414947600,0.0000978936,0.2915
1000000000,3.1415854360,0.0000072176,3.1565
