Total_Points,Pi_Estimate,Error,Execution_Time
1000000,3.1420960000,0.0005033464,0.0077
10000000,3.1415984000,0.0000057464,0.0365
100000000,3.1415717600,0.0000208936,0.2855
1000000000,3.1415837920,0.0000088616,2.9389
